ID,Month,Day,minmax,Date,Level(m)
01AD004,6,3,max,2019-06-03,137.174
01AD004,6,4,min,1980-06-04,134.86700000000002
01AD004,6,4,max,2019-06-04,136.993
01AD004,6,5,min,1980-06-05,134.847
01AD004,6,5,max,2019-06-05,136.66
01AD004,6,6,min,1980-06-06,134.812
01AD004,6,6,max,2019-06-06,136.371
01AD004,6,7,min,1980-06-07,134.782
01AD004,6,7,max,2019-06-07,136.16499
01AD004,6,8,min,1980-06-08,134.778
01AD004,6,8,max,2019-06-08,136.12198999999998
01AD004,6,9,min,1980-06-09,134.741
01AD004,6,9,max,2019-06-09,136.151
01AD004,6,10,min,1980-06-10,134.72099
01AD004,6,10,max,2019-06-10,136.11301
01AD004,6,11,min,1980-06-11,134.69901000000002
01AD004,6,11,max,2019-06-11,135.97799999999998
01AD004,6,12,min,1980-06-12,134.681
01AD004,6,12,max,2019-06-12,136.032
01AD004,6,13,min,1980-06-13,134.664
01AD004,6,13,max,2019-06-13,135.93401
01AD004,6,14,min,1980-06-14,134.707
01AD004,6,14,max,2019-06-14,135.95
01AD004,6,15,min,1980-06-15,134.688
01AD004,6,15,max,2019-06-15,136.584
01AD004,6,16,min,1980-06-16,134.67
01AD004,6,16,max,2019-06-16,136.804
01AD004,6,17,min,1980-06-17,134.649
01AD004,6,17,max,2019-06-17,136.40401
01AD004,6,18,min,1980-06-18,134.61700000000002
01AD004,6,18,max,2019-06-18,136.063
01AD004,6,19,min,1980-06-19,134.629
01AD004,6,19,max,2019-06-19,136.233
01AD004,6,20,min,1980-06-20,134.64
01AD004,6,20,max,2019-06-20,136.09801000000002
01AD004,6,21,min,1980-06-21,134.62801000000002
01AD004,6,21,max,2019-06-21,135.88699
01AD004,6,22,min,1980-06-22,134.649
01AD004,6,22,max,2019-06-22,135.85299999999998
01AD004,6,23,min,1980-06-23,134.64101000000002
01AD004,6,23,max,2019-06-23,136.157
01AD004,6,24,min,1980-06-24,134.63
01AD004,6,24,max,2019-06-24,136.689
01AD004,6,25,min,1980-06-25,134.627
01AD004,6,25,max,2019-06-25,136.627
01AD004,6,26,min,1980-06-26,134.589
01AD004,6,26,max,2019-06-26,136.496
01AD004,6,27,min,1980-06-27,134.60001
01AD004,6,27,max,2019-06-27,136.31599
01AD004,6,28,min,1980-06-28,134.60898999999998
01AD004,6,28,max,2019-06-28,136.435
01AD004,6,29,min,1980-06-29,134.60699
01AD004,6,29,max,2019-06-29,136.504
01AD004,6,30,min,1980-06-30,134.576
01AD004,6,30,max,2019-06-30,136.498
01AD004,7,1,min,1980-07-01,134.58299
01AD004,7,1,max,2019-07-01,136.62601
01AD004,7,2,min,1980-07-02,134.556
01AD004,7,2,max,2019-07-02,136.341
01AD004,7,3,min,1980-07-03,134.565
01AD004,7,3,max,2019-07-03,136.39301
01AD004,7,4,min,1980-07-04,134.58
01AD004,7,4,max,2019-07-04,136.157
01AD004,7,5,min,1980-07-05,134.55200000000002
01AD004,7,5,max,2019-07-05,135.97
01AD004,7,6,min,1980-07-06,134.528
01AD004,7,6,max,2019-07-06,136.437
01AD004,7,7,min,1980-07-07,134.533
01AD004,7,7,max,2019-07-07,136.72701
01AD004,7,8,min,1980-07-08,134.59399
01AD004,7,8,max,2019-07-08,136.455
01AD004,7,9,min,1980-07-09,134.577
01AD004,7,9,max,2019-07-09,136.21001
01AD004,7,10,min,1980-07-10,134.55701000000002
01AD004,7,10,max,2019-07-10,135.97
01AD004,7,11,min,1980-07-11,134.543
01AD004,7,11,max,2019-07-11,136.36700000000002
01AD004,7,12,min,1980-07-12,134.49899
01AD004,7,12,max,2019-07-12,136.22799999999998
01AD004,7,13,min,1980-07-13,134.464
01AD004,7,13,max,2019-07-13,136.007
01AD004,7,14,min,1980-07-14,134.43201000000002
01AD004,7,14,max,2019-07-14,136.03
01AD004,7,15,min,1980-07-15,134.41901
01AD004,7,15,max,2019-07-15,136.065
01AD004,7,16,min,1980-07-16,134.42799
01AD004,7,16,max,2019-07-16,136.188
01AD004,7,17,min,1980-07-17,134.44501
01AD004,7,17,max,2019-07-17,137.332
01AD004,7,18,min,1980-07-18,134.493
01AD004,7,18,max,2019-07-18,137.28999
01AD004,7,19,min,1980-07-19,134.47301000000002
01AD004,7,19,max,2019-07-19,136.799
01AD004,7,20,min,1980-07-20,134.45399
01AD004,7,20,max,2019-07-20,136.41701
01AD004,7,21,min,1980-07-21,134.44501
01AD004,7,21,max,2019-07-21,136.123
01AD004,7,22,min,1980-07-22,134.485
01AD004,7,22,max,2019-07-22,135.90601
01AD004,7,23,min,1980-07-23,134.509
01AD004,7,23,max,2019-07-23,136.12399
01AD004,7,24,min,1980-07-24,134.463
01AD004,7,24,max,2019-07-24,135.93201000000002
01AD004,7,25,min,1980-07-25,134.468
01AD004,7,25,max,2019-07-25,136.056
01AD004,7,26,min,1980-07-26,134.487
01AD004,7,26,max,2019-07-26,135.89999
01AD004,7,27,min,1980-07-27,134.47899999999998
01AD004,7,27,max,2019-07-27,135.638
01AD004,7,28,min,1980-07-28,134.47799999999998
01AD004,7,28,max,2019-07-28,136.039
01AD004,7,29,min,1980-07-29,134.472
01AD004,7,29,max,2019-07-29,135.88901
01AD004,7,30,min,1980-07-30,134.464
01AD004,7,30,max,2019-07-30,136.077
01AD004,7,31,min,1980-07-31,134.45
01AD004,7,31,max,2019-07-31,136.10399999999998
01AD004,8,1,min,1980-08-01,134.44099
01AD004,8,1,max,2019-08-01,136.005
01AD004,8,2,min,1980-08-02,134.429
01AD004,8,2,max,2019-08-02,135.858
01AD004,8,3,min,1980-08-03,134.46201000000002
01AD004,8,3,max,2019-08-03,136.35399999999998
01AD004,8,4,min,1980-08-04,134.446
01AD004,8,4,max,2019-08-04,137.67598999999998
01AD004,8,5,min,1980-08-05,134.431
01AD004,8,5,max,2019-08-05,138.48398999999998
01AD004,8,6,min,1980-08-06,134.43401
01AD004,8,6,max,2019-08-06,137.825
01AD004,8,7,min,1980-08-07,134.45399
01AD004,8,7,max,2019-08-07,137.112
01AD004,8,8,min,1980-08-08,134.483
01AD004,8,8,max,2019-08-08,136.66701
01AD004,8,9,min,1980-08-09,134.416
01AD004,8,9,max,2019-08-09,136.483
01AD004,8,10,min,1980-08-10,134.41901
01AD004,8,10,max,2019-08-10,136.39700000000002
01AD004,8,11,min,1980-08-11,134.39301
01AD004,8,11,max,2019-08-11,136.27698999999998
01AD004,8,12,min,1980-08-12,134.379
01AD004,8,12,max,2019-08-12,136.446
01AD004,8,13,min,1980-08-13,134.39799
01AD004,8,13,max,2019-08-13,136.287
01AD004,8,14,min,1980-08-14,134.36099
01AD004,8,14,max,2019-08-14,138.11700000000002
01AD004,8,15,min,1980-08-15,134.355
01AD004,8,15,max,2019-08-15,138.32299999999998
01AD004,8,16,min,1980-08-16,134.37801000000002
01AD004,8,16,max,2019-08-16,137.56798999999998
01AD004,8,17,min,1980-08-17,134.355
01AD004,8,17,max,2019-08-17,136.925
01AD004,8,18,min,1980-08-18,134.34599
01AD004,8,18,max,2019-08-18,136.507
01AD004,8,19,min,1980-08-19,134.341
01AD004,8,19,max,2019-08-19,137.80901
01AD004,8,20,min,1980-08-20,134.339
01AD004,8,20,max,2019-08-20,137.411
01AD004,8,21,min,1980-08-21,134.349
01AD004,8,21,max,2019-08-21,136.89
01AD004,8,22,min,1980-08-22,134.362
01AD004,8,22,max,2019-08-22,136.46201000000002
01AD004,8,23,min,1980-08-23,134.355
01AD004,8,23,max,2019-08-23,136.205
01AD004,8,24,min,1980-08-24,134.342
01AD004,8,24,max,2019-08-24,136.04601
01AD004,8,25,min,1980-08-25,134.336
01AD004,8,25,max,2019-08-25,135.899
01AD004,8,26,min,1980-08-26,134.332
01AD004,8,26,max,2019-08-26,136.32401000000002
01AD004,8,27,min,1980-08-27,134.32401000000002
01AD004,8,27,max,2019-08-27,136.207
01AD004,8,28,min,1980-08-28,134.30701000000002
01AD004,8,28,max,2019-08-28,135.989
01AD004,8,29,min,1980-08-29,134.304
01AD004,8,29,max,2019-08-29,135.825
01AD004,8,30,min,1980-08-30,134.30200000000002
01AD004,8,30,max,2019-08-30,136.414
01AD004,8,31,min,1980-08-31,134.289
01AD004,8,31,max,2019-08-31,136.651
01AD004,9,1,min,1980-09-01,134.284
01AD004,9,1,max,2019-09-01,136.265
