09CD001,"YUKON RIVER ABOVE WHITE RIVER"
Description of parameters:
47,"Discharge (primary sensor derived)",m3/s

Date,Parameter ,Value (m3/s)
2020-01-08 17:44:00,47,379
2020-01-08 17:59:00,47,379
2020-01-08 18:14:00,47,379
2020-01-08 18:29:00,47,379
2020-01-08 18:44:00,47,379
2020-01-08 18:59:00,47,379
2020-01-08 19:14:00,47,379
2020-01-08 19:29:00,47,379
2020-01-08 19:44:00,47,379
2020-01-08 19:59:00,47,379
2020-01-08 20:14:00,47,379
2020-01-08 20:29:00,47,379
2020-01-08 20:44:00,47,379
2020-01-08 20:59:00,47,379
2020-01-08 21:14:00,47,379
2020-01-08 21:29:00,47,379
2020-01-08 21:44:00,47,379
2020-01-08 21:59:00,47,379
2020-01-08 22:14:00,47,379
2020-01-08 22:29:00,47,379
2020-01-08 22:44:00,47,379
2020-01-08 22:59:00,47,379
2020-01-08 23:14:00,47,379
2020-01-08 23:29:00,47,379
2020-01-08 23:44:00,47,379
2020-01-08 23:59:00,47,379
2020-01-09 00:14:00,47,379
2020-01-09 00:29:00,47,379
2020-01-09 00:44:00,47,379
2020-01-09 00:59:00,47,379
2020-01-09 01:14:00,47,379
2020-01-09 01:29:00,47,379
2020-01-09 01:44:00,47,379
2020-01-09 01:59:00,47,379
2020-01-09 02:14:00,47,379
2020-01-09 02:29:00,47,379
2020-01-09 02:44:00,47,379
2020-01-09 02:59:00,47,379
2020-01-09 03:14:00,47,379
2020-01-09 03:29:00,47,379
2020-01-09 03:44:00,47,379
2020-01-09 03:59:00,47,379
2020-01-09 04:14:00,47,379
2020-01-09 04:29:00,47,379
2020-01-09 04:44:00,47,379
2020-01-09 04:59:00,47,379
2020-01-09 05:14:00,47,379
2020-01-09 05:29:00,47,379
2020-01-09 05:44:00,47,379
2020-01-09 05:59:00,47,379
2020-01-09 06:14:00,47,379
2020-01-09 06:29:00,47,379
2020-01-09 06:44:00,47,379
2020-01-09 06:59:00,47,379
2020-01-09 07:14:00,47,379
2020-01-09 07:29:00,47,379
2020-01-09 07:44:00,47,379
2020-01-09 07:59:00,47,379
2020-01-09 08:14:00,47,379
2020-01-09 08:29:00,47,379
2020-01-09 08:44:00,47,379
2020-01-09 08:59:00,47,379
2020-01-09 09:14:00,47,379
