ID,Month,Day,minmax,Date,Flow(m³/s)
02DD020,5,4,max,2019-05-04,122.0
02DD020,5,5,min,1982-05-05,15.6
02DD020,5,5,max,2019-05-05,123.0
02DD020,5,6,min,1982-05-06,15.8
02DD020,5,6,max,2019-05-06,124.0
02DD020,5,7,min,1982-05-07,16.1
02DD020,5,7,max,2019-05-07,125.0
02DD020,5,8,min,1982-05-08,16.5
02DD020,5,8,max,2019-05-08,125.0
02DD020,5,9,min,1982-05-09,17.0
02DD020,5,9,max,2019-05-09,127.0
02DD020,5,10,min,1982-05-10,17.200001
02DD020,5,10,max,2019-05-10,130.0
02DD020,5,11,min,1982-05-11,17.6
02DD020,5,11,max,2019-05-11,131.0
02DD020,5,12,min,1982-05-12,17.6
02DD020,5,12,max,2019-05-12,132.0
02DD020,5,13,min,1982-05-13,18.299999
02DD020,5,13,max,2019-05-13,133.0
02DD020,5,14,min,1982-05-14,18.299999
02DD020,5,14,max,2019-05-14,133.0
02DD020,5,15,min,1982-05-15,18.6
02DD020,5,15,max,2019-05-15,134.0
02DD020,5,16,min,1982-05-16,19.0
02DD020,5,16,max,2019-05-16,134.0
02DD020,5,17,min,1982-05-17,18.9
02DD020,5,17,max,2019-05-17,134.0
02DD020,5,18,min,1982-05-18,18.9
02DD020,5,18,max,2019-05-18,133.0
02DD020,5,19,min,1982-05-19,19.4
02DD020,5,19,max,2019-05-19,134.0
02DD020,5,20,min,1982-05-20,19.200001
02DD020,5,20,max,2019-05-20,135.0
02DD020,5,21,min,1982-05-21,19.0
02DD020,5,21,max,2019-05-21,136.0
02DD020,5,22,min,1982-05-22,18.9
02DD020,5,22,max,2019-05-22,136.0
02DD020,5,23,min,1982-05-23,18.299999
02DD020,5,23,max,2019-05-23,137.0
02DD020,5,24,min,1982-05-24,16.9
02DD020,5,24,max,2019-05-24,137.0
02DD020,5,25,min,1982-05-25,14.5
02DD020,5,25,max,2019-05-25,139.0
02DD020,5,26,min,1982-05-26,13.4
02DD020,5,26,max,2019-05-26,140.0
02DD020,5,27,min,1982-05-27,13.4
02DD020,5,27,max,2019-05-27,140.0
02DD020,5,28,min,1982-05-28,13.5
02DD020,5,28,max,2019-05-28,140.0
02DD020,5,29,min,1982-05-29,13.8
02DD020,5,29,max,2019-05-29,139.0
02DD020,5,30,min,1982-05-30,14.1
02DD020,5,30,max,2019-05-30,139.0
02DD020,5,31,min,1982-05-31,13.5
02DD020,5,31,max,2019-05-31,138.0
02DD020,6,1,min,1982-06-01,14.0
02DD020,6,1,max,2019-06-01,137.0
02DD020,6,2,min,1982-06-02,14.4
02DD020,6,2,max,2019-06-02,136.0
02DD020,6,3,min,1982-06-03,14.5
02DD020,6,3,max,2019-06-03,134.0
02DD020,6,4,min,1982-06-04,14.4
02DD020,6,4,max,2019-06-04,132.0
02DD020,6,5,min,1982-06-05,14.2
02DD020,6,5,max,2019-06-05,131.0
02DD020,6,6,min,1982-06-06,14.2
02DD020,6,6,max,2019-06-06,130.0
02DD020,6,7,min,1982-06-07,14.1
02DD020,6,7,max,2019-06-07,128.0
02DD020,6,8,min,1982-06-08,14.2
02DD020,6,8,max,2019-06-08,126.0
02DD020,6,9,min,1982-06-09,15.3
02DD020,6,9,max,2019-06-09,125.0
02DD020,6,10,min,1982-06-10,15.1
